id,expiration_id,src_ip,src_mac,src_oui,src_port,dst_ip,dst_mac,dst_oui,dst_port,protocol,ip_version,vlan_id,tunnel_id,bidirectional_first_seen_ms,bidirectional_last_seen_ms,bidirectional_duration_ms,bidirectional_packets,bidirectional_bytes,src2dst_first_seen_ms,src2dst_last_seen_ms,src2dst_duration_ms,src2dst_packets,src2dst_bytes,dst2src_first_seen_ms,dst2src_last_seen_ms,dst2src_duration_ms,dst2src_packets,dst2src_bytes,bidirectional_min_ps,bidirectional_mean_ps,bidirectional_stddev_ps,bidirectional_max_ps,src2dst_min_ps,src2dst_mean_ps,src2dst_stddev_ps,src2dst_max_ps,dst2src_min_ps,dst2src_mean_ps,dst2src_stddev_ps,dst2src_max_ps,bidirectional_min_piat_ms,bidirectional_mean_piat_ms,bidirectional_stddev_piat_ms,bidirectional_max_piat_ms,src2dst_min_piat_ms,src2dst_mean_piat_ms,src2dst_stddev_piat_ms,src2dst_max_piat_ms,dst2src_min_piat_ms,dst2src_mean_piat_ms,dst2src_stddev_piat_ms,dst2src_max_piat_ms,bidirectional_syn_packets,bidirectional_cwr_packets,bidirectional_ece_packets,bidirectional_urg_packets,bidirectional_ack_packets,bidirectional_psh_packets,bidirectional_rst_packets,bidirectional_fin_packets,src2dst_syn_packets,src2dst_cwr_packets,src2dst_ece_packets,src2dst_urg_packets,src2dst_ack_packets,src2dst_psh_packets,src2dst_rst_packets,src2dst_fin_packets,dst2src_syn_packets,dst2src_cwr_packets,dst2src_ece_packets,dst2src_urg_packets,dst2src_ack_packets,dst2src_psh_packets,dst2src_rst_packets,dst2src_fin_packets,application_name,application_category_name,application_is_guessed,application_confidence,requested_server_name,client_fingerprint,server_fingerprint,user_agent,content_type,Label
0,0,192.168.0.14,a8:66:7f:0e:3f:54,a8:66:7f,5353,224.0.0.251,48:4b:aa:2c:d8:f9,48:4b:aa,5353,17,4,0,0,1559286932729,1559287041272,108543,22,9505,1559286932729,1559287041272,108543,22,9505,0,0,0,0,0,150,432.0454545454545,173.83091874487778,546,150,432.0454545454545,173.83091874487778,546,0,0.0,0.0,0,0,5168.714285714285,17950.04361315832,79458,0,5168.714285714285,17950.04361315832,79458,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MDNS,Network,1,1,nan,nan,nan,nan,nan,normal
1,0,192.168.0.16,48:4b:aa:2c:d8:f9,48:4b:aa,55926,150.109.178.162,88:36:6c:d7:1c:56,88:36:6c,6002,17,4,0,0,1559286933605,1559286936733,3128,4,956,1559286933605,1559286936733,3128,4,956,0,0,0,0,0,239,239.0,0.0,239,239,239.0,0.0,239,0,0.0,0.0,0,1013,1042.6666666666667,27.754879450888144,1068,1013,1042.6666666666667,27.754879450888144,1068,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unknown,Unspecified,0,0,nan,nan,nan,nan,nan,normal
2,0,fe80::10cc:207d:e8e8:1062,a8:66:7f:0e:3f:54,a8:66:7f,5353,ff02::fb,48:4b:aa:2c:d8:f9,48:4b:aa,5353,17,6,0,0,1559286932729,1559287041273,108544,21,9719,1559286932729,1559287041273,108544,21,9719,0,0,0,0,0,174,462.8095238095237,164.29108893899846,562,174,462.8095238095237,164.29108893899846,562,0,0.0,0.0,0,0,5427.2,18376.20940123111,79458,0,5427.2,18376.20940123111,79458,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MDNS,Network,1,1,nan,nan,nan,nan,nan,normal
3,0,192.168.0.13,bc:1c:81:4b:ae:ba,bc:1c:81,0,192.168.0.1,88:36:6c:d7:1c:56,88:36:6c,0,1,4,0,0,1559286933239,1559287143558,210319,32,4672,1559286933239,1559287143557,210318,17,2482,1559286933240,1559287143558,210318,15,2190,146,146.0,0.0,146,146,146.0,0.0,146,146,146.0,0.0,146,0,6784.4838709677415,7598.532405980197,15031,1,13144.875000000002,5130.844919049233,15032,15019,15022.714285714286,3.539416975643692,15032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ICMP,Network,0,6,nan,nan,nan,nan,nan,normal
4,0,192.168.0.16,48:4b:aa:2c:d8:f9,48:4b:aa,61596,18.136.162.179,88:36:6c:d7:1c:56,88:36:6c,443,6,4,0,0,1559286934431,1559286965139,30708,10,1971,1559286934431,1559286965139,30708,6,1105,1559286934572,1559286965136,30564,4,866,98,197.1,169.17279135054,536,98,184.16666666666669,173.0160878839499,536,114,216.5,187.4326545722489,497,0,3412.0,9841.973099942918,29652,0,6141.6,13256.107433933992,29851,0,10188.0,16941.808551627542,29745,0,0,0,0,9,4,1,2,0,0,0,0,5,2,1,1,0,0,0,0,4,2,0,1,TLS,Web,0,6,nan,nan,nan,nan,nan,normal
5,0,192.168.0.23,a8:2b:b9:d6:5d:9c,a8:2b:b9,56172,52.84.187.51,88:36:6c:d7:1c:56,88:36:6c,443,6,4,0,0,1559286937041,1559287146767,209726,15,2110,1559286937041,1559287146767,209726,10,1330,1559286937054,1559287146766,209712,5,780,110,140.66666666666666,22.445701677816267,156,110,133.0,24.244128727957573,156,156,156.0,0.0,156,1,14980.428571428572,29419.191367630665,87787,6,23302.88888888889,34470.85470163325,87787,13234,52428.0,33676.23925955312,87798,0,0,0,0,15,10,0,0,0,0,0,0,10,5,0,0,0,0,0,0,5,5,0,0,TLS,Web,0,6,nan,nan,nan,nan,nan,normal
6,0,192.168.0.23,a8:2b:b9:d6:5d:9c,a8:2b:b9,44629,163.152.1.1,88:36:6c:d7:1c:56,88:36:6c,53,17,4,0,0,1559286937088,1559286937089,1,2,555,1559286937088,1559286937088,0,1,113,1559286937089,1559286937089,0,1,442,113,277.5,232.6381310103741,442,113,113.0,0.0,113,442,442.0,0.0,442,1,1.0,0.0,1,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DNS.Slack,Network,0,6,slack.com,nan,nan,nan,nan,normal
7,0,192.168.0.16,48:4b:aa:2c:d8:f9,48:4b:aa,53181,192.168.0.13,bc:1c:81:4b:ae:ba,bc:1c:81,9010,6,4,0,0,1559286937380,1559286937419,39,13,2398,1559286937380,1559286937419,39,9,1926,1559286937382,1559286937388,6,4,472,98,184.46153846153842,167.7183230819933,562,98,214.00000000000003,197.4740489279541,562,114,118.0,4.618802153517004,122,0,3.25,8.486620485960668,30,0,4.875,11.038083425771237,32,0,2.0,3.4641016151377544,6,4,2,4,0,11,2,1,0,2,2,2,0,7,2,1,0,2,0,2,0,4,0,0,0,Unknown,Unspecified,0,0,nan,nan,nan,nan,nan,normal
8,0,192.168.0.16,48:4b:aa:2c:d8:f9,48:4b:aa,61593,18.136.162.179,88:36:6c:d7:1c:56,88:36:6c,443,6,4,0,0,1559286937969,1559286969806,31837,24,5488,1559286937969,1559286969806,31837,14,3157,1559286938057,1559286969797,31740,10,2331,98,228.66666666666663,165.42794744873504,502,98,225.5,156.54380070274755,492,114,233.1,185.74561457362412,502,0,1384.2173913043475,6108.575529208707,29394,0,2449.0,8125.42104550076,29481,0,3526.666666666666,9737.023621209924,29481,0,0,0,0,23,11,1,2,0,0,0,0,13,7,1,1,0,0,0,0,10,4,0,1,TLS,Web,0,6,nan,nan,nan,nan,nan,normal
9,0,192.168.0.16,48:4b:aa:2c:d8:f9,48:4b:aa,53184,192.168.0.13,bc:1c:81:4b:ae:ba,bc:1c:81,9010,6,4,0,0,1559286939384,1559286939457,73,22,7942,1559286939384,1559286939457,73,12,1992,1559286939386,1559286939456,70,10,5950,102,361.00000000000006,475.42562384617406,1498,102,166.00000000000003,125.40552401926105,434,114,595.0,629.7943226870888,1498,0,3.4761904761904763,12.753897630211116,59,0,6.636363636363638,19.10640064100367,64,0,7.777777777777778,19.292341600864436,59,4,2,4,0,20,4,2,2,2,2,2,0,10,2,2,0,2,0,2,0,10,2,0,2,Unknown,Unspecified,0,0,nan,nan,nan,nan,nan,normal
