src_port,dst_port,protocol,ip_version,bidirectional_duration_ms,bidirectional_packets,bidirectional_bytes,src2dst_duration_ms,src2dst_packets,src2dst_bytes,dst2src_duration_ms,dst2src_packets,dst2src_bytes,bidirectional_min_ps,bidirectional_mean_ps,bidirectional_stddev_ps,bidirectional_max_ps,src2dst_min_ps,src2dst_mean_ps,src2dst_stddev_ps,src2dst_max_ps,dst2src_min_ps,dst2src_mean_ps,dst2src_stddev_ps,dst2src_max_ps,bidirectional_min_piat_ms,bidirectional_mean_piat_ms,bidirectional_stddev_piat_ms,bidirectional_max_piat_ms,src2dst_min_piat_ms,src2dst_mean_piat_ms,src2dst_stddev_piat_ms,src2dst_max_piat_ms,dst2src_min_piat_ms,dst2src_mean_piat_ms,dst2src_stddev_piat_ms,dst2src_max_piat_ms,bidirectional_syn_packets,bidirectional_cwr_packets,bidirectional_ece_packets,bidirectional_urg_packets,bidirectional_ack_packets,bidirectional_psh_packets,bidirectional_rst_packets,bidirectional_fin_packets,src2dst_syn_packets,src2dst_cwr_packets,src2dst_ece_packets,src2dst_urg_packets,src2dst_ack_packets,src2dst_psh_packets,src2dst_rst_packets,src2dst_fin_packets,dst2src_syn_packets,dst2src_cwr_packets,dst2src_ece_packets,dst2src_urg_packets,dst2src_ack_packets,dst2src_psh_packets,dst2src_rst_packets,dst2src_fin_packets,label
0,0,1,4,8355.729,2,168,0.011,1,84,9.256,1,84,84.0,84.0,0.0,84.0,84.0,84.0,0.0,84.0,84.0,84.0,0.0,84.0,0.011,4.628,4.617,9.245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53494,8080,6,4,5356.963,2,120,0.007,1,60,28.436,1,60,60.0,60.0,0.0,60.0,60.0,60.0,0.0,60.0,60.0,60.0,0.0,60.0,0.007,14.218,14.211,28.429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
37446,5201,6,4,5349.222,2,120,0.007,1,60,24.384,1,60,60.0,60.0,0.0,60.0,60.0,60.0,0.0,60.0,60.0,60.0,0.0,60.0,0.007,12.192,12.185,24.377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
0,0,1,4,4520.498,11,924,620.945,6,504,359.567,5,420,84.0,84.0,0.0,84.0,84.0,84.0,0.0,84.0,84.0,84.0,0.0,84.0,0.008,56.45,110.776,356.667,0.531,40.007,78.812,197.63,0.5,89.89,154.025,356.667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,4,18359.614,2,168,0.011,1,84,9.256,1,84,84.0,84.0,0.0,84.0,84.0,84.0,0.0,84.0,84.0,84.0,0.0,84.0,0.011,4.628,4.617,9.245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53494,8080,6,4,15360.744,2,120,0.007,1,60,28.436,1,60,60.0,60.0,0.0,60.0,60.0,60.0,0.0,60.0,60.0,60.0,0.0,60.0,0.007,14.218,14.211,28.429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
37446,5201,6,4,15352.982,2,120,0.007,1,60,24.384,1,60,60.0,60.0,0.0,60.0,60.0,60.0,0.0,60.0,60.0,60.0,0.0,60.0,0.007,12.192,12.185,24.377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
0,0,1,4,14524.258,11,924,620.945,6,504,359.567,5,420,84.0,84.0,0.0,84.0,84.0,84.0,0.0,84.0,84.0,84.0,0.0,84.0,0.008,56.45,110.776,356.667,0.531,40.007,78.812,197.63,0.5,89.89,154.025,356.667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,4,8230.499,12,1008,100.918,6,504,51.255,6,504,84.0,84.0,0.0,84.0,84.0,84.0,0.0,84.0,84.0,84.0,0.0,84.0,0.012,8.41,12.728,40.114,1.764,1.91,0.143,2.154,1.129,10.249,11.313,31.654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,4,28367.417,2,168,0.011,1,84,9.256,1,84,84.0,84.0,0.0,84.0,84.0,84.0,0.0,84.0,84.0,84.0,0.0,84.0,0.011,4.628,4.617,9.245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
