timestamp,datapath_id,src_ip,dst_ip,src_mac,dst_mac,ip_proto,src_port,dst_port,packet_count,byte_count,duration_sec,packet_rate,byte_rate,arp_reply_count,gratuitous_arp,ip_mac_changes,packet_in_rate,active_flow_count,label
1773772314.1642,42066486502464,10.0.0.13,10.0.0.3,00:00:00:00:00:0c,00:00:00:00:00:02,6,37280,8080,1,74,0.001,1000.0,74000.0,0,0,0,0.1996,2,0
1773772314.1642,42066486502464,10.0.0.3,10.0.0.13,00:00:00:00:00:02,00:00:00:00:00:0c,6,8080,37280,1,74,0.001,1000.0,74000.0,1,0,0,0.1996,2,0
1773772324.1774,42066486502464,10.0.0.13,10.0.0.3,00:00:00:00:00:0c,00:00:00:00:00:02,6,37280,8080,1,74,0.001,1000.0,74000.0,0,0,0,1.3982,8,0
1773772324.1774,42066486502464,10.0.0.3,10.0.0.13,00:00:00:00:00:02,00:00:00:00:00:0c,6,8080,37280,1,74,0.001,1000.0,74000.0,1,0,0,1.3982,8,0
1773772324.1774,42066486502464,10.0.0.8,10.0.0.16,00:00:00:00:00:07,00:00:00:00:00:0f,1,0,0,1,98,0.001,1000.0,98000.0,1,0,0,1.3982,8,0
1773772324.1774,42066486502464,10.0.0.16,10.0.0.8,00:00:00:00:00:0f,00:00:00:00:00:07,1,0,0,1,98,0.001,1000.0,98000.0,1,0,0,1.3982,8,0
1773772324.1774,42066486502464,10.0.0.16,10.0.0.3,00:00:00:00:00:0f,00:00:00:00:00:02,6,55878,8080,1,74,0.001,1000.0,74000.0,1,0,0,1.3982,8,0
1773772324.1774,42066486502464,10.0.0.3,10.0.0.16,00:00:00:00:00:02,00:00:00:00:00:0f,6,8080,55878,1,74,0.001,1000.0,74000.0,1,0,0,1.3982,8,0
1773772324.1774,42066486502464,10.0.0.3,10.0.0.7,00:00:00:00:00:02,00:00:00:00:00:06,1,0,0,5,490,0.0358,139.6277,13683.5133,1,0,0,1.3982,8,0
1773772324.1774,42066486502464,10.0.0.7,10.0.0.3,00:00:00:00:00:06,00:00:00:00:00:02,1,0,0,5,490,0.0044,1132.127,110948.4431,2,0,0,1.3982,8,0
1773772334.1912,42066486502464,10.0.0.13,10.0.0.3,00:00:00:00:00:0c,00:00:00:00:00:02,6,37280,8080,1,74,0.001,1000.0,74000.0,1,0,0,0.3994,12,0
1773772334.1912,42066486502464,10.0.0.3,10.0.0.13,00:00:00:00:00:02,00:00:00:00:00:0c,6,8080,37280,1,74,0.001,1000.0,74000.0,1,0,0,0.3994,12,0
1773772334.1912,42066486502464,10.0.0.8,10.0.0.16,00:00:00:00:00:07,00:00:00:00:00:0f,1,0,0,1,98,0.001,1000.0,98000.0,0,0,0,0.3994,12,0
1773772334.1912,42066486502464,10.0.0.16,10.0.0.8,00:00:00:00:00:0f,00:00:00:00:00:07,1,0,0,1,98,0.001,1000.0,98000.0,1,0,0,0.3994,12,0
1773772334.1912,42066486502464,10.0.0.16,10.0.0.3,00:00:00:00:00:0f,00:00:00:00:00:02,6,55878,8080,1,74,0.001,1000.0,74000.0,1,0,0,0.3994,12,0
1773772334.1912,42066486502464,10.0.0.3,10.0.0.16,00:00:00:00:00:02,00:00:00:00:00:0f,6,8080,55878,1,74,0.001,1000.0,74000.0,1,0,0,0.3994,12,0
1773772334.1912,42066486502464,10.0.0.3,10.0.0.7,00:00:00:00:00:02,00:00:00:00:00:06,1,0,0,5,490,0.0358,139.6277,13683.5133,1,0,0,0.3994,12,0
1773772334.1912,42066486502464,10.0.0.7,10.0.0.3,00:00:00:00:00:06,00:00:00:00:00:02,1,0,0,5,490,0.0044,1132.127,110948.4431,0,0,0,0.3994,12,0
1773772334.1912,42066486502464,10.0.0.16,10.0.0.10,00:00:00:00:00:0f,00:00:00:00:00:09,1,0,0,1,98,0.001,1000.0,98000.0,1,0,0,0.3994,12,0
1773772334.1912,42066486502464,10.0.0.10,10.0.0.16,00:00:00:00:00:09,00:00:00:00:00:0f,1,0,0,1,98,0.001,1000.0,98000.0,1,0,0,0.3994,12,0
1773772334.1912,42066486502464,10.0.0.15,10.0.0.13,00:00:00:00:00:0e,00:00:00:00:00:0c,1,0,0,1,98,0.001,1000.0,98000.0,0,0,0,0.3994,12,0
1773772334.1912,42066486502464,10.0.0.13,10.0.0.15,00:00:00:00:00:0c,00:00:00:00:00:0e,1,0,0,1,98,0.001,1000.0,98000.0,1,0,0,0.3994,12,0
